"","code_module","code_presentation","id_assessment","assessment_type","date","weight","module_presentation_length"
"1","AAA","2013J",1752,"TMA",19,10,268
"2","AAA","2013J",1753,"TMA",54,20,268
"3","AAA","2013J",1754,"TMA",117,20,268
"4","AAA","2013J",1755,"TMA",166,20,268
"5","AAA","2013J",1756,"TMA",215,30,268
"6","AAA","2013J",1757,"Exam",268,100,268
"7","AAA","2014J",1758,"TMA",19,10,269
"8","AAA","2014J",1759,"TMA",54,20,269
"9","AAA","2014J",1760,"TMA",117,20,269
"10","AAA","2014J",1761,"TMA",166,20,269
"11","AAA","2014J",1762,"TMA",215,30,269
"12","AAA","2014J",1763,"Exam",269,100,269
"13","BBB","2013B",14991,"CMA",54,1,240
"14","BBB","2013B",14992,"CMA",89,1,240
"15","BBB","2013B",14993,"CMA",124,1,240
"16","BBB","2013B",14994,"CMA",159,1,240
"17","BBB","2013B",14995,"CMA",187,1,240
"18","BBB","2013B",14984,"TMA",19,5,240
"19","BBB","2013B",14985,"TMA",47,18,240
"20","BBB","2013B",14986,"TMA",89,18,240
"21","BBB","2013B",14987,"TMA",124,18,240
"22","BBB","2013B",14988,"TMA",159,18,240
"23","BBB","2013B",14989,"TMA",187,18,240
"24","BBB","2013B",14990,"Exam",240,100,240
"25","BBB","2013J",15003,"CMA",54,1,268
"26","BBB","2013J",15004,"CMA",96,1,268
"27","BBB","2013J",15005,"CMA",131,1,268
"28","BBB","2013J",15006,"CMA",166,1,268
"29","BBB","2013J",15007,"CMA",208,1,268
"30","BBB","2013J",14996,"TMA",19,5,268
"31","BBB","2013J",14997,"TMA",47,18,268
"32","BBB","2013J",14998,"TMA",96,18,268
"33","BBB","2013J",14999,"TMA",131,18,268
"34","BBB","2013J",15000,"TMA",166,18,268
"35","BBB","2013J",15001,"TMA",208,18,268
"36","BBB","2013J",15002,"Exam",268,100,268
"37","BBB","2014B",15015,"CMA",47,1,234
"38","BBB","2014B",15016,"CMA",82,1,234
"39","BBB","2014B",15017,"CMA",117,1,234
"40","BBB","2014B",15018,"CMA",152,1,234
"41","BBB","2014B",15019,"CMA",194,1,234
"42","BBB","2014B",15008,"TMA",12,5,234
"43","BBB","2014B",15009,"TMA",40,18,234
"44","BBB","2014B",15010,"TMA",82,18,234
"45","BBB","2014B",15011,"TMA",117,18,234
"46","BBB","2014B",15012,"TMA",152,18,234
"47","BBB","2014B",15013,"TMA",194,18,234
"48","BBB","2014B",15014,"Exam",234,100,234
"49","BBB","2014J",15020,"TMA",19,0,262
"50","BBB","2014J",15021,"TMA",54,10,262
"51","BBB","2014J",15022,"TMA",110,20,262
"52","BBB","2014J",15023,"TMA",152,35,262
"53","BBB","2014J",15024,"TMA",201,35,262
"54","BBB","2014J",15025,"Exam",262,100,262
"55","CCC","2014B",24286,"CMA",18,2,241
"56","CCC","2014B",24287,"CMA",67,7,241
"57","CCC","2014B",24288,"CMA",137,8,241
"58","CCC","2014B",24289,"CMA",207,8,241
"59","CCC","2014B",24282,"TMA",32,9,241
"60","CCC","2014B",24283,"TMA",102,22,241
"61","CCC","2014B",24284,"TMA",151,22,241
"62","CCC","2014B",24285,"TMA",200,22,241
"63","CCC","2014B",24290,"Exam",241,100,241
"64","CCC","2014B",40087,"Exam",241,100,241
"65","CCC","2014J",24295,"CMA",18,2,269
"66","CCC","2014J",24296,"CMA",67,7,269
"67","CCC","2014J",24297,"CMA",144,8,269
"68","CCC","2014J",24298,"CMA",214,8,269
"69","CCC","2014J",24291,"TMA",32,9,269
"70","CCC","2014J",24292,"TMA",109,22,269
"71","CCC","2014J",24293,"TMA",158,22,269
"72","CCC","2014J",24294,"TMA",207,22,269
"73","CCC","2014J",24299,"Exam",269,100,269
"74","CCC","2014J",40088,"Exam",269,100,269
"75","DDD","2013B",25341,"CMA",23,2,240
"76","DDD","2013B",25342,"CMA",51,3,240
"77","DDD","2013B",25343,"CMA",79,3,240
"78","DDD","2013B",25344,"CMA",114,4,240
"79","DDD","2013B",25345,"CMA",149,4,240
"80","DDD","2013B",25346,"CMA",170,3,240
"81","DDD","2013B",25347,"CMA",206,6,240
"82","DDD","2013B",25334,"TMA",25,7.5,240
"83","DDD","2013B",25335,"TMA",53,10,240
"84","DDD","2013B",25336,"TMA",81,12.5,240
"85","DDD","2013B",25337,"TMA",116,15,240
"86","DDD","2013B",25338,"TMA",151,15,240
"87","DDD","2013B",25339,"TMA",200,15,240
"88","DDD","2013B",25340,"Exam",240,100,240
"89","DDD","2013J",25348,"TMA",25,10,261
"90","DDD","2013J",25349,"TMA",53,12.5,261
"91","DDD","2013J",25350,"TMA",88,17.5,261
"92","DDD","2013J",25351,"TMA",123,20,261
"93","DDD","2013J",25352,"TMA",165,20,261
"94","DDD","2013J",25353,"TMA",207,20,261
"95","DDD","2013J",25354,"Exam",261,100,261
"96","DDD","2014B",25355,"TMA",25,10,241
"97","DDD","2014B",25356,"TMA",53,12.5,241
"98","DDD","2014B",25357,"TMA",74,17.5,241
"99","DDD","2014B",25358,"TMA",116,20,241
"100","DDD","2014B",25359,"TMA",158,20,241
"101","DDD","2014B",25360,"TMA",200,20,241
"102","DDD","2014B",25361,"Exam",241,100,241
"103","DDD","2014J",25362,"TMA",20,5,262
"104","DDD","2014J",25363,"TMA",41,10,262
"105","DDD","2014J",25364,"TMA",62,10,262
"106","DDD","2014J",25365,"TMA",111,25,262
"107","DDD","2014J",25366,"TMA",146,25,262
"108","DDD","2014J",25367,"TMA",195,25,262
"109","DDD","2014J",25368,"Exam",262,100,262
"110","EEE","2013J",30709,"TMA",33,16,268
"111","EEE","2013J",30710,"TMA",68,28,268
"112","EEE","2013J",30711,"TMA",124,28,268
"113","EEE","2013J",30712,"TMA",159,28,268
"114","EEE","2013J",30713,"Exam",235,100,268
"115","EEE","2014B",30714,"TMA",33,16,241
"116","EEE","2014B",30715,"TMA",68,28,241
"117","EEE","2014B",30716,"TMA",117,28,241
"118","EEE","2014B",30717,"TMA",152,28,241
"119","EEE","2014B",30718,"Exam",228,100,241
"120","EEE","2014J",30719,"TMA",33,16,269
"121","EEE","2014J",30720,"TMA",68,28,269
"122","EEE","2014J",30721,"TMA",131,28,269
"123","EEE","2014J",30722,"TMA",166,28,269
"124","EEE","2014J",30723,"Exam",235,100,269
"125","FFF","2013B",34865,"CMA",222,0,240
"126","FFF","2013B",34866,"CMA",222,0,240
"127","FFF","2013B",34867,"CMA",222,0,240
"128","FFF","2013B",34868,"CMA",222,0,240
"129","FFF","2013B",34869,"CMA",222,0,240
"130","FFF","2013B",34871,"CMA",222,0,240
"131","FFF","2013B",34870,"CMA",222,0,240
"132","FFF","2013B",34860,"TMA",19,12.5,240
"133","FFF","2013B",34861,"TMA",47,12.5,240
"134","FFF","2013B",34862,"TMA",89,25,240
"135","FFF","2013B",34863,"TMA",131,25,240
"136","FFF","2013B",34864,"TMA",166,25,240
"137","FFF","2013B",34872,"Exam",222,100,240
"138","FFF","2013J",34878,"CMA",236,0,268
"139","FFF","2013J",34879,"CMA",236,0,268
"140","FFF","2013J",34880,"CMA",236,0,268
"141","FFF","2013J",34881,"CMA",236,0,268
"142","FFF","2013J",34882,"CMA",236,0,268
"143","FFF","2013J",34884,"CMA",236,0,268
"144","FFF","2013J",34883,"CMA",236,0,268
"145","FFF","2013J",34873,"TMA",19,12.5,268
"146","FFF","2013J",34874,"TMA",47,12.5,268
