"","id","Distinction","Fail","Pass","Withdrawn","total","Pro_D","Pro_F","Pro_P","Pro_W","CMA","Exam","TMA","code_module","code_presentation","module_presentation_length","weighted_CMA","weighted_Exam","weighted_TMA"
"1","AAA 2013J",20,45,258,60,383,0.0522193211488251,0.117493472584856,0.673629242819843,0.156657963446475,0,1,5,"AAA","2013J",268,0,100,100
"2","AAA 2014J",24,46,229,66,365,0.0657534246575342,0.126027397260274,0.627397260273973,0.180821917808219,0,1,5,"AAA","2014J",269,0,100,100
"3","BBB 2013B",166,396,561,490,1613,0.10291382517049,0.245505269683819,0.347799132052077,0.303781773093614,5,1,6,"BBB","2013B",240,5,100,95
"4","BBB 2013J",155,459,648,505,1767,0.087719298245614,0.259762308998302,0.366723259762309,0.285795132993775,5,1,6,"BBB","2013J",268,5,100,95
"5","BBB 2014B",180,391,972,749,2292,0.0785340314136126,0.170593368237347,0.424083769633508,0.326788830715532,0,1,5,"BBB","2014B",234,5,100,95
"6","BBB 2014J",176,521,896,644,2237,0.0786767992847564,0.232901206973625,0.400536432722396,0.287885561019222,5,1,6,"BBB","2014J",262,0,100,100
"7","CCC 2014B",306,406,709,1077,2498,0.122497998398719,0.162530024019215,0.283827061649319,0.431144915932746,4,2,4,"CCC","2014B",241,25,200,75
"8","CCC 2014J",192,375,471,898,1936,0.0991735537190083,0.193698347107438,0.243285123966942,0.463842975206612,4,2,4,"CCC","2014J",269,25,200,75
"9","DDD 2013B",119,259,360,490,1228,0.0969055374592834,0.210912052117264,0.293159609120521,0.399022801302932,0,1,6,"DDD","2013B",240,25,100,75
"10","DDD 2013J",54,361,456,432,1303,0.0414428242517268,0.277052954719877,0.349961627014582,0.331542594013814,7,1,6,"DDD","2013J",261,0,100,100
"11","DDD 2014B",112,364,680,647,1803,0.0621186910704382,0.201885745978924,0.377149195784803,0.358846367165835,0,1,6,"DDD","2014B",241,0,100,100
"12","DDD 2014J",98,428,731,681,1938,0.0505675954592363,0.220846233230134,0.37719298245614,0.351393188854489,0,1,6,"DDD","2014J",262,0,100,100
"13","EEE 2013J",127,200,482,243,1052,0.120722433460076,0.190114068441065,0.458174904942966,0.230988593155894,0,1,4,"EEE","2013J",268,0,100,100
"14","EEE 2014B",157,198,527,306,1188,0.132154882154882,0.166666666666667,0.443602693602694,0.257575757575758,0,1,4,"EEE","2014B",241,0,100,100
"15","EEE 2014J",72,164,285,173,694,0.103746397694524,0.236311239193084,0.410662824207493,0.249279538904899,0,1,4,"EEE","2014J",269,0,100,100
"16","FFF 2013B",107,384,547,462,1500,0.0713333333333333,0.256,0.364666666666667,0.308,7,1,5,"FFF","2013B",240,0,100,100
"17","FFF 2013J",118,421,664,411,1614,0.0731102850061958,0.260842627013631,0.411400247831475,0.254646840148699,7,1,5,"FFF","2013J",268,0,100,100
"18","FFF 2014B",258,393,859,855,2365,0.109090909090909,0.166173361522199,0.363213530655391,0.361522198731501,7,1,5,"FFF","2014B",241,0,100,100
"19","FFF 2014J",187,513,908,675,2283,0.0819097678493211,0.224704336399474,0.39772229522558,0.295663600525624,7,1,5,"FFF","2014J",269,0,100,100
"20","GGG 2013J",141,294,451,66,952,0.148109243697479,0.308823529411765,0.473739495798319,0.069327731092437,6,1,3,"GGG","2013J",261,0,100,0
"21","GGG 2014B",127,179,317,126,749,0.169559412550067,0.238985313751669,0.423230974632844,0.168224299065421,6,1,3,"GGG","2014B",241,0,100,0
"22","GGG 2014J",128,255,350,100,833,0.153661464585834,0.306122448979592,0.420168067226891,0.120048019207683,6,1,3,"GGG","2014J",269,0,100,0
