"","code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result.x","date_registration","module_presentation_length","count_date","sum_click_sum","frequency","avg_date_submission"
"1","AAA","2013J",100893,"1","Yorkshire Region",3,3,1,0,60,1,3,"-62",268,243,744,3.06172839506173,81.4
"2","AAA","2013J",101781,"1","South Region",2,9,2,0,60,1,3,"-103",268,913,4104,4.49507119386637,79.4
"3","AAA","2013J",102806,"1","North Western Region",3,4,1,0,60,1,3,"-107",268,781,1944,2.48911651728553,81.2
"4","AAA","2013J",102952,"1","London Region",4,7,1,0,60,1,3,"-100",268,313,1150,3.6741214057508,80.8
"5","AAA","2013J",1035023,"0","London Region",2,4,2,0,60,1,3,"-87",268,572,1896,3.31468531468531,80.8
"6","AAA","2013J",104476,"1","Ireland",5,5,2,0,60,1,3,"-109",268,992,4777,4.81552419354839,85
"7","AAA","2013J",106247,"1","South Region",4,9,2,0,60,1,4,"5",268,145,465,3.20689655172414,37
"8","AAA","2013J",106577,"1","East Midlands Region",2,3,1,0,60,1,3,"-107",268,221,733,3.31674208144796,82.4
"9","AAA","2013J",110175,"1","East Anglian Region",4,9,2,0,60,1,3,"-110",268,343,998,2.90962099125364,80.8
"10","AAA","2013J",1105478,"1","Scotland",4,9,3,0,60,1,3,"-144",268,512,1695,3.310546875,82
"11","AAA","2013J",111717,"0","East Anglian Region",4,10,2,0,60,1,3,"-43",268,589,2343,3.97792869269949,87.6666666666667
"12","AAA","2013J",113295,"1","Yorkshire Region",2,7,2,0,60,1,3,"-26",268,1001,3553,3.54945054945055,84.6
"13","AAA","2013J",11391,"1","East Anglian Region",4,10,3,0,240,1,3,"-159",268,196,934,4.76530612244898,79.4
"14","AAA","2013J",114017,"0","North Region",5,5,2,0,60,1,3,"-29",268,231,757,3.27705627705628,80.2
"15","AAA","2013J",114999,"1","Yorkshire Region",4,7,2,0,60,1,3,"-68",268,510,1358,2.66274509803922,82.6
"16","AAA","2013J",116541,"1","Wales",4,1,1,0,60,1,3,"-68",268,514,1886,3.6692607003891,90.6
"17","AAA","2013J",116692,"1","East Anglian Region",3,8,2,0,60,1,3,"-32",268,311,1108,3.56270096463023,76.6
"18","AAA","2013J",118983,"1","East Midlands Region",4,4,1,0,120,1,3,"-99",268,111,284,2.55855855855856,81.2
"19","AAA","2013J",123044,"1","South Region",3,5,2,0,60,1,3,"-82",268,600,2041,3.40166666666667,82.4
"20","AAA","2013J",127582,"0","East Midlands Region",3,5,1,0,180,1,3,"-31",268,440,1321,3.00227272727273,85.4
"21","AAA","2013J",129955,"1","West Midlands Region",3,6,1,0,60,1,4,"-197",268,303,1011,3.33663366336634,33
"22","AAA","2013J",132976,"0","East Anglian Region",2,9,2,0,120,1,3,"-75",268,152,520,3.42105263157895,80.4
"23","AAA","2013J",134143,"0","South East Region",3,10,2,0,60,1,1,"-96",268,569,2732,4.80140597539543,80.4
"24","AAA","2013J",1352868,"1","Yorkshire Region",3,3,2,0,60,1,4,"-63",268,174,641,3.68390804597701,-4.5
"25","AAA","2013J",135400,"0","South East Region",2,10,2,0,60,2,4,"-32",268,109,287,2.63302752293578,-12
"26","AAA","2013J",137873,"1","South West Region",3,5,2,0,60,1,3,"-195",268,1409,5528,3.92334989354152,79.4
"27","AAA","2013J",1401935,"1","West Midlands Region",3,8,2,0,60,1,2,"-35",268,85,240,2.82352941176471,-2.5
"28","AAA","2013J",1402638,"0","East Midlands Region",4,4,2,0,60,1,3,"-195",268,310,910,2.93548387096774,86.6
"29","AAA","2013J",141355,"0","East Midlands Region",3,4,1,0,240,1,3,"-61",268,585,1823,3.11623931623932,82.6
"30","AAA","2013J",141377,"1","South West Region",3,10,1,0,345,1,4,"-110",268,44,143,3.25,24
"31","AAA","2013J",1414443,"0","Yorkshire Region",3,5,2,0,120,1,2,"-169",268,397,1907,4.80352644836272,32
"32","AAA","2013J",142326,"0","North Region",3,6,2,0,60,1,3,"-37",268,631,2121,3.36133122028526,82.2
"33","AAA","2013J",144801,"0","South Region",4,9,2,0,60,1,3,"-67",268,1620,5645,3.48456790123457,81.8
"34","AAA","2013J",145130,"1","South West Region",4,7,1,0,120,1,3,"-36",268,149,452,3.03355704697987,85.4
"35","AAA","2013J",146188,"0","West Midlands Region",3,3,1,0,60,2,2,"-132",268,192,597,3.109375,86
"36","AAA","2013J",1465690,"1","West Midlands Region",4,5,2,0,120,1,3,"-38",268,994,3460,3.48088531187123,80.6
"37","AAA","2013J",1472925,"0","East Anglian Region",2,5,2,0,60,2,2,"20",268,230,939,4.08260869565217,84.2
"38","AAA","2013J",147756,"1","North Region",2,7,1,0,120,1,2,"-92",268,228,611,2.67982456140351,60.5
"39","AAA","2013J",147793,"0","North Region",2,9,1,0,90,1,4,"-138",268,41,155,3.78048780487805,2
"40","AAA","2013J",1488959,"1","London Region",3,8,2,0,60,1,3,"-30",268,721,3493,4.84466019417476,82.6
"41","AAA","2013J",148993,"0","North Western Region",3,4,2,0,60,2,4,"-174",268,554,1864,3.36462093862816,36.6666666666667
"42","AAA","2013J",151358,"0","London Region",3,9,1,0,150,1,3,"-44",268,89,270,3.03370786516854,77.6
"43","AAA","2013J",1518989,"0","South East Region",2,9,2,0,60,1,3,"-102",268,1183,4202,3.5519864750634,82
"44","AAA","2013J",155550,"1","London Region",3,1,2,0,420,1,3,"-16",268,419,1529,3.6491646778043,82
"45","AAA","2013J",155854,"0","East Midlands Region",3,3,2,0,60,1,3,"-54",268,963,4003,4.15680166147456,80.2
"46","AAA","2013J",155984,"0","East Anglian Region",2,8,1,0,60,1,4,"-64",268,245,908,3.70612244897959,8.5
"47","AAA","2013J",157568,"0","South West Region",3,10,1,0,60,1,3,"-52",268,386,1405,3.63989637305699,90.6
"48","AAA","2013J",159954,"1","East Midlands Region",3,5,2,0,60,1,4,"-46",268,320,1185,3.703125,-6
"49","AAA","2013J",1618738,"1","London Region",2,10,2,0,60,1,3,"-95",268,147,723,4.91836734693878,79.8
"50","AAA","2013J",1620151,"1","South Region",4,10,2,0,60,1,2,"-95",268,218,998,4.57798165137615,51
"51","AAA","2013J",1626710,"1","North Western Region",3,7,2,0,60,1,1,"-195",268,1681,6025,3.5841760856633,78.4
"52","AAA","2013J",1640609,"1","West Midlands Region",3,4,2,0,60,1,3,"-191",268,1433,5061,3.53175157013259,79.4
"53","AAA","2013J",164259,"1","Scotland",3,8,1,0,60,1,3,"-64",268,239,466,1.94979079497908,80.8
"54","AAA","2013J",167906,"0","Yorkshire Region",3,5,2,0,60,1,3,"-117",268,515,1510,2.93203883495146,84
"55","AAA","2013J",1686521,"0","North Western Region",2,6,2,0,60,1,4,"-124",268,201,643,3.19900497512438,-13
"56","AAA","2013J",168936,"0","West Midlands Region",2,5,2,0,60,1,3,"-32",268,302,745,2.46688741721854,81.2
"57","AAA","2013J",172112,"1","Ireland",4,5,2,0,60,1,3,"-50",268,697,1939,2.7819225251076,88.2
"58","AAA","2013J",172797,"0","Ireland",3,5,2,0,60,1,3,"-45",268,415,1782,4.29397590361446,82
"59","AAA","2013J",1729319,"0","Scotland",4,5,2,0,60,1,3,"-106",268,765,2756,3.60261437908497,81.2
"60","AAA","2013J",1746134,"1","East Anglian Region",3,7,2,0,60,1,3,"-30",268,534,1759,3.2940074906367,76.4
"61","AAA","2013J",174782,"1","East Anglian Region",4,10,3,0,60,1,3,"-162",268,1643,6318,3.84540474741327,79.2
"62","AAA","2013J",175392,"1","North Region",4,5,2,0,60,1,3,"-195",268,1311,4447,3.39206712433257,79.4
