"","code_module","code_presentation","final_result","avg_count","avg_click","id"
"1","AAA","2013J","Distinction",3.73262138938009,4120.95,"AAA 2013J"
"2","AAA","2013J","Fail",3.00833545120625,672.822222222222,"AAA 2013J"
"3","AAA","2013J","Pass",3.37508435370102,1847.12790697674,"AAA 2013J"
"4","AAA","2013J","Withdrawn",3.9802432134429,1077.07272727273,"AAA 2013J"
"5","AAA","2014J","Distinction",3.48348328029854,3633.95833333333,"AAA 2014J"
"6","AAA","2014J","Fail",2.81874177496276,571.782608695652,"AAA 2014J"
"7","AAA","2014J","Pass",3.21559790297836,1882.1135371179,"AAA 2014J"
"8","AAA","2014J","Withdrawn",3.36476056665196,924.775862068965,"AAA 2014J"
"9","BBB","2013B","Distinction",3.06421315300809,1710.12258064516,"BBB 2013B"
"10","BBB","2013B","Fail",2.63761829522297,458.176328502415,"BBB 2013B"
"11","BBB","2013B","Pass",2.86800879817837,1184.86728395062,"BBB 2013B"
"12","BBB","2013B","Withdrawn",2.70059988230132,391.759375,"BBB 2013B"
"13","BBB","2013J","Distinction",2.71851588801541,1313.78977272727,"BBB 2013J"
"14","BBB","2013J","Fail",2.40331845996115,318.455508474576,"BBB 2013J"
"15","BBB","2013J","Pass",2.66140994487118,1019.81584821429,"BBB 2013J"
"16","BBB","2013J","Withdrawn",2.41049314095395,255.71472392638,"BBB 2013J"
"17","BBB","2014B","Distinction",2.91585644997962,1269.44578313253,"BBB 2014B"
"18","BBB","2014B","Fail",2.42388572431649,282.13296398892,"BBB 2014B"
"19","BBB","2014B","Pass",2.66778964223535,844.932263814617,"BBB 2014B"
"20","BBB","2014B","Withdrawn",2.46225104883937,229.514563106796,"BBB 2014B"
"21","BBB","2014J","Distinction",3.91104277241391,1630.67222222222,"BBB 2014J"
"22","BBB","2014J","Fail",2.85552186980314,395.888586956522,"BBB 2014J"
"23","BBB","2014J","Pass",3.70247119824466,1175.67319587629,"BBB 2014J"
"24","BBB","2014J","Withdrawn",2.67521949708668,233.58064516129,"BBB 2014J"
"25","CCC","2014B","Distinction",3.67925479926571,2593.15104166667,"CCC 2014B"
"26","CCC","2014B","Fail",3.44301249010957,636.557746478873,"CCC 2014B"
"27","CCC","2014B","Pass",3.71268430777225,1896.26114649682,"CCC 2014B"
"28","CCC","2014B","Withdrawn",3.25538041490815,410.52036199095,"CCC 2014B"
"29","CCC","2014J","Distinction",3.73611263448757,2561.64052287582,"CCC 2014J"
"30","CCC","2014J","Fail",3.55593860094229,854.198492462312,"CCC 2014J"
"31","CCC","2014J","Pass",3.77936893303018,1892.9081920904,"CCC 2014J"
"32","CCC","2014J","Withdrawn",3.30580741982291,369.61797752809,"CCC 2014J"
"33","DDD","2013B","Distinction",2.49123745548672,2247.46296296296,"DDD 2013B"
"34","DDD","2013B","Fail",2.44949935607182,815.481268011527,"DDD 2013B"
"35","DDD","2013B","Pass",2.48551669303299,1780.85964912281,"DDD 2013B"
"36","DDD","2013B","Withdrawn",2.37730131494256,479.159663865546,"DDD 2013B"
"37","DDD","2013J","Distinction",2.59100346360856,2349.4693877551,"DDD 2013J"
"38","DDD","2013J","Fail",2.43814094824135,596.149758454106,"DDD 2013J"
"39","DDD","2013J","Pass",2.47742284473121,1497.65526675787,"DDD 2013J"
"40","DDD","2013J","Withdrawn",2.38014228101274,353.093333333333,"DDD 2013J"
"41","DDD","2014B","Distinction",2.39727190119117,1772.38655462185,"DDD 2014B"
"42","DDD","2014B","Fail",2.47651093577186,493.70281124498,"DDD 2014B"
"43","DDD","2014B","Pass",2.41716160745301,1291.69166666667,"DDD 2014B"
"44","DDD","2014B","Withdrawn",2.41086269856291,383.510309278351,"DDD 2014B"
"45","DDD","2014J","Distinction",2.37506482694517,1757.58928571429,"DDD 2014J"
"46","DDD","2014J","Fail",2.27589057263462,477.175977653631,"DDD 2014J"
"47","DDD","2014J","Pass",2.30801865172489,1359.14705882353,"DDD 2014J"
"48","DDD","2014J","Withdrawn",2.31908272025853,293.464788732394,"DDD 2014J"
"49","EEE","2013J","Distinction",4.37800437668923,2988.37007874016,"EEE 2013J"
"50","EEE","2013J","Fail",4.2715276784483,663.700534759358,"EEE 2013J"
"51","EEE","2013J","Pass",4.23051872354444,1983.20124481328,"EEE 2013J"
"52","EEE","2013J","Withdrawn",4.06770944932916,454.85119047619,"EEE 2013J"
"53","EEE","2014B","Distinction",4.11168102229991,2670.65277777778,"EEE 2014B"
"54","EEE","2014B","Fail",4.12936013620823,581.929032258064,"EEE 2014B"
"55","EEE","2014B","Pass",4.08562036941753,1778.61754385965,"EEE 2014B"
"56","EEE","2014B","Withdrawn",3.92873136204109,380.767857142857,"EEE 2014B"
"57","EEE","2014J","Distinction",4.03176441632573,2860.90445859873,"EEE 2014J"
"58","EEE","2014J","Fail",3.97658267306434,663.340540540541,"EEE 2014J"
"59","EEE","2014J","Pass",3.96259329860658,1843.83870967742,"EEE 2014J"
"60","EEE","2014J","Withdrawn",3.61212093810032,318.65350877193,"EEE 2014J"
"61","FFF","2013B","Distinction",4.47354237140195,5563.65254237288,"FFF 2013B"
"62","FFF","2013B","Fail",3.89148729244403,1587.24757281553,"FFF 2013B"
"63","FFF","2013B","Pass",4.56088589381607,3976.53614457831,"FFF 2013B"
"64","FFF","2013B","Withdrawn",3.2968862498693,851.829113924051,"FFF 2013B"
"65","FFF","2013J","Distinction",4.40502577723507,5131.24598930481,"FFF 2013J"
"66","FFF","2013J","Fail",3.45311395490719,1100.29841897233,"FFF 2013J"
"67","FFF","2013J","Pass",4.41271405487602,3541.16299559471,"FFF 2013J"
"68","FFF","2013J","Withdrawn",3.26735237991315,774.183098591549,"FFF 2013J"
"69","FFF","2014B","Distinction",4.49637170372988,4746.20560747664,"FFF 2014B"
"70","FFF","2014B","Fail",3.56693962741252,1045.76612903226,"FFF 2014B"
"71","FFF","2014B","Pass",4.45779541219255,3340.40585009141,"FFF 2014B"
"72","FFF","2014B","Withdrawn",3.33642621667539,746.433234421365,"FFF 2014B"
"73","FFF","2014J","Distinction",4.41258770070788,5267.61240310077,"FFF 2014J"
"74","FFF","2014J","Fail",3.5609692755053,1208.47668393782,"FFF 2014J"
"75","FFF","2014J","Pass",4.46564071286331,3619.11408614668,"FFF 2014J"
"76","FFF","2014J","Withdrawn",3.02493613245276,562.255663430421,"FFF 2014J"
"77","GGG","2013J","Distinction",3.62291591838845,945.333333333333,"GGG 2013J"
"78","GGG","2013J","Fail",2.75923390841321,249.46511627907,"GGG 2013J"
"79","GGG","2013J","Pass",3.41167330610218,672.086474501109,"GGG 2013J"
"80","GGG","2013J","Withdrawn",2.75000770612061,185.022222222222,"GGG 2013J"
"81","GGG","2014B","Distinction",3.37818283756597,823.0859375,"GGG 2014B"
"82","GGG","2014B","Fail",2.81413055732505,213.803493449782,"GGG 2014B"
"83","GGG","2014B","Pass",3.36872098207931,745.9,"GGG 2014B"
"84","GGG","2014B","Withdrawn",2.5129931861079,148.242424242424,"GGG 2014B"
"85","GGG","2014J","Distinction",3.34694664793499,869.425196850394,"GGG 2014J"
"86","GGG","2014J","Fail",2.88237623426792,290.180124223602,"GGG 2014J"
"87","GGG","2014J","Pass",3.41873678619025,732.006309148265,"GGG 2014J"
"88","GGG","2014J","Withdrawn",2.49311897770824,112.322580645161,"GGG 2014J"
