"","id","assessment_type","k","sum_weight"
"1","AAA 2013J","Exam",1,100
"2","AAA 2013J","TMA",5,100
"3","AAA 2014J","Exam",1,100
"4","AAA 2014J","TMA",5,100
"5","BBB 2013B","CMA",5,5
"6","BBB 2013B","Exam",1,100
"7","BBB 2013B","TMA",6,95
"8","BBB 2013J","CMA",5,5
"9","BBB 2013J","Exam",1,100
"10","BBB 2013J","TMA",6,95
"11","BBB 2014B","CMA",5,5
"12","BBB 2014B","Exam",1,100
"13","BBB 2014B","TMA",6,95
"14","BBB 2014J","Exam",1,100
"15","BBB 2014J","TMA",5,100
"16","CCC 2014B","CMA",4,25
"17","CCC 2014B","Exam",2,200
"18","CCC 2014B","TMA",4,75
"19","CCC 2014J","CMA",4,25
"20","CCC 2014J","Exam",2,200
"21","CCC 2014J","TMA",4,75
"22","DDD 2013B","CMA",7,25
"23","DDD 2013B","Exam",1,100
"24","DDD 2013B","TMA",6,75
"25","DDD 2013J","Exam",1,100
"26","DDD 2013J","TMA",6,100
"27","DDD 2014B","Exam",1,100
"28","DDD 2014B","TMA",6,100
"29","DDD 2014J","Exam",1,100
"30","DDD 2014J","TMA",6,100
"31","EEE 2013J","Exam",1,100
"32","EEE 2013J","TMA",4,100
"33","EEE 2014B","Exam",1,100
"34","EEE 2014B","TMA",4,100
"35","EEE 2014J","Exam",1,100
"36","EEE 2014J","TMA",4,100
"37","FFF 2013B","CMA",7,0
"38","FFF 2013B","Exam",1,100
"39","FFF 2013B","TMA",5,100
"40","FFF 2013J","CMA",7,0
"41","FFF 2013J","Exam",1,100
"42","FFF 2013J","TMA",5,100
"43","FFF 2014B","CMA",7,0
"44","FFF 2014B","Exam",1,100
"45","FFF 2014B","TMA",5,100
"46","FFF 2014J","CMA",7,0
"47","FFF 2014J","Exam",1,100
"48","FFF 2014J","TMA",5,100
"49","GGG 2013J","CMA",6,0
"50","GGG 2013J","Exam",1,100
"51","GGG 2013J","TMA",3,0
"52","GGG 2014B","CMA",6,0
"53","GGG 2014B","Exam",1,100
"54","GGG 2014B","TMA",3,0
"55","GGG 2014J","CMA",6,0
"56","GGG 2014J","Exam",1,100
"57","GGG 2014J","TMA",3,0
