"","id","assessment_type","k"
"1","AAA 2013J","Exam",1
"2","AAA 2013J","TMA",5
"3","AAA 2014J","Exam",1
"4","AAA 2014J","TMA",5
"5","BBB 2013B","CMA",5
"6","BBB 2013B","Exam",1
"7","BBB 2013B","TMA",6
"8","BBB 2013J","CMA",5
"9","BBB 2013J","Exam",1
"10","BBB 2013J","TMA",6
"11","BBB 2014B","CMA",5
"12","BBB 2014B","Exam",1
"13","BBB 2014B","TMA",6
"14","BBB 2014J","Exam",1
"15","BBB 2014J","TMA",5
"16","CCC 2014B","CMA",4
"17","CCC 2014B","Exam",2
"18","CCC 2014B","TMA",4
"19","CCC 2014J","CMA",4
"20","CCC 2014J","Exam",2
"21","CCC 2014J","TMA",4
"22","DDD 2013B","CMA",7
"23","DDD 2013B","Exam",1
"24","DDD 2013B","TMA",6
"25","DDD 2013J","Exam",1
"26","DDD 2013J","TMA",6
"27","DDD 2014B","Exam",1
"28","DDD 2014B","TMA",6
"29","DDD 2014J","Exam",1
"30","DDD 2014J","TMA",6
"31","EEE 2013J","Exam",1
"32","EEE 2013J","TMA",4
"33","EEE 2014B","Exam",1
"34","EEE 2014B","TMA",4
"35","EEE 2014J","Exam",1
"36","EEE 2014J","TMA",4
"37","FFF 2013B","CMA",7
"38","FFF 2013B","Exam",1
"39","FFF 2013B","TMA",5
"40","FFF 2013J","CMA",7
"41","FFF 2013J","Exam",1
"42","FFF 2013J","TMA",5
"43","FFF 2014B","CMA",7
"44","FFF 2014B","Exam",1
"45","FFF 2014B","TMA",5
"46","FFF 2014J","CMA",7
"47","FFF 2014J","Exam",1
"48","FFF 2014J","TMA",5
"49","GGG 2013J","CMA",6
"50","GGG 2013J","Exam",1
"51","GGG 2013J","TMA",3
"52","GGG 2014B","CMA",6
"53","GGG 2014B","Exam",1
"54","GGG 2014B","TMA",3
"55","GGG 2014J","CMA",6
"56","GGG 2014J","Exam",1
"57","GGG 2014J","TMA",3
