Quarter,C&I ,CRE ,Date
2001Q1,336072,449307,3/31/2001
2001Q2,373516,531159,6/30/2001
2001Q3,439979,588960,9/30/2001
2001Q4,443382,695306,12/31/2001
2002Q1,386553,734943,3/31/2002
2002Q2,442061,913712,6/30/2002
2002Q3,388404,1041420,9/30/2002
2002Q4,572208,1405927,12/31/2002
2003Q1,597063,1502564,3/31/2003
2003Q2,634458,1624280,6/30/2003
2003Q3,695931,1806674,9/30/2003
2003Q4,753946,1970382,12/31/2003
2004Q1,787239,2140516,3/31/2004
2004Q2,835172,2322701,6/30/2004
2004Q3,883481,2464597,9/30/2004
2004Q4,970909,2616594,12/31/2004
2005Q1,1018898,2775992,3/31/2005
2005Q2,1112810,2963143,6/30/2005
2005Q3,1086811,3225343,9/30/2005
2005Q4,1109540,3346181,12/31/2005
2006Q1,1101000,3475057,3/31/2006
2006Q2,1119492,3706848,6/30/2006
2006Q3,1175382,3976588,9/30/2006
2006Q4,1214793,4141343,12/31/2006
2007Q1,1211284,4271953,3/31/2007
2007Q2,1240052,4490211,6/30/2007
2007Q3,1320661,4725910,9/30/2007
2007Q4,1366846,4903511,12/31/2007
2008Q1,1417205,5116637,3/31/2008
2008Q2,1457698,5261108,6/30/2008
2008Q3,1464934,5256223,9/30/2008
2008Q4,1457540,5254391,12/31/2008
2009Q1,1391131,5305854,3/31/2009
2009Q2,1474751,5526787,6/30/2009
2009Q3,1384249,5594299,9/30/2009
2009Q4,1347819,5578790,12/31/2009
2010Q1,1336794,5540364,3/31/2010
2010Q2,1397714,5525099,6/30/2010
2010Q3,1402496,5466829,9/30/2010
2010Q4,1441030,5376307,12/31/2010
2011Q1,1369729,5300964,3/31/2011
2011Q2,1334194,5154626,6/30/2011
2011Q3,1327243,5094248,9/30/2011
2011Q4,1332641,5021119,12/31/2011
2012Q1,1350447,4973151,3/31/2012
2012Q2,1427298,5062791,6/30/2012
2012Q3,1451201,5257861,9/30/2012
2012Q4,1455944,5500176,12/31/2012
2013Q1,1451269,5604810,3/31/2013
2013Q2,1472050,5623482,6/30/2013
2013Q3,1454910,5890396,9/30/2013
2013Q4,1446415,6053543,12/31/2013
2014Q1,1424159,6209838,3/31/2014
2014Q2,1421590,6423218,6/30/2014
2014Q3,1425973,6642665,9/30/2014
2014Q4,1461578,6801640,12/31/2014
2015Q1,1542053,6939840,3/31/2015
2015Q2,1566743,7034784,6/30/2015
2015Q3,1588058,7229643,9/30/2015
2015Q4,1621107,7602503,12/31/2015
2016Q1,1682087,7646120,3/31/2016
