Date,year,q,bbb_qd,bbb_qd_lag_1,bbb_qd_lag_2,bbb_qd_lag_3,bbb_qd_lag_4,bbb_yd,bbb_yd_lag_1,bbb_yd_lag_2,bbb_yd_lag_3,bbb_yd_lag_4,cpi,cpi_lag_1,cpi_lag_2,cpi_lag_3,cpi_lag_4,cpi_qd,cpi_qd_lag_1,cpi_qd_lag_2,cpi_qd_lag_3,cpi_qd_lag_4,cpi_yd,cpi_yd_lag_1,cpi_yd_lag_2,cpi_yd_lag_3,cpi_yd_lag_4,cppi_ag,cppi_ag_lag_1,cppi_ag_lag_2,cppi_ag_lag_3,cppi_ag_lag_4,cppi_qg,cppi_qg_lag_1,cppi_qg_lag_2,cppi_qg_lag_3,cppi_qg_lag_4,dji_ag,dji_ag_lag_1,dji_ag_lag_2,dji_ag_lag_3,dji_ag_lag_4,dji_qg,dji_qg_lag_1,dji_qg_lag_2,dji_qg_lag_3,dji_qg_lag_4,gpdi_eqp_ag,gpdi_eqp_ag_lag_1,gpdi_eqp_ag_lag_2,gpdi_eqp_ag_lag_3,gpdi_eqp_ag_lag_4,gpdi_eqp_qg,gpdi_eqp_qg_lag_1,gpdi_eqp_qg_lag_2,gpdi_eqp_qg_lag_3,gpdi_eqp_qg_lag_4,hpi_ag,hpi_ag_lag_1,hpi_ag_lag_2,hpi_ag_lag_3,hpi_ag_lag_4,hpi_qg,hpi_qg_lag_1,hpi_qg_lag_2,hpi_qg_lag_3,hpi_qg_lag_4,i10yr_qd,i10yr_qd_lag_1,i10yr_qd_lag_2,i10yr_qd_lag_3,i10yr_qd_lag_4,i10yr_yd,i10yr_yd_lag_1,i10yr_yd_lag_2,i10yr_yd_lag_3,i10yr_yd_lag_4,i3m_qd,i3m_qd_lag_1,i3m_qd_lag_2,i3m_qd_lag_3,i3m_qd_lag_4,i3m_yd,i3m_yd_lag_1,i3m_yd_lag_2,i3m_yd_lag_3,i3m_yd_lag_4,i5yr_qd,i5yr_qd_lag_1,i5yr_qd_lag_2,i5yr_qd_lag_3,i5yr_qd_lag_4,i5yr_yd,i5yr_yd_lag_1,i5yr_yd_lag_2,i5yr_yd_lag_3,i5yr_yd_lag_4,imort_qd,imort_qd_lag_1,imort_qd_lag_2,imort_qd_lag_3,imort_qd_lag_4,imort_yd,imort_yd_lag_1,imort_yd_lag_2,imort_yd_lag_3,imort_yd_lag_4,iprim_qd,iprim_qd_lag_1,iprim_qd_lag_2,iprim_qd_lag_3,iprim_qd_lag_4,iprim_yd,iprim_yd_lag_1,iprim_yd_lag_2,iprim_yd_lag_3,iprim_yd_lag_4,ndi_ag,ndi_ag_lag_1,ndi_ag_lag_2,ndi_ag_lag_3,ndi_ag_lag_4,ndi_qg,ndi_qg_lag_1,ndi_qg_lag_2,ndi_qg_lag_3,ndi_qg_lag_4,ngdp_ag,ngdp_ag_lag_1,ngdp_ag_lag_2,ngdp_ag_lag_3,ngdp_ag_lag_4,ngdp_qg,ngdp_qg_lag_1,ngdp_qg_lag_2,ngdp_qg_lag_3,ngdp_qg_lag_4,pfi_nonres_str_ag,pfi_nonres_str_ag_lag_1,pfi_nonres_str_ag_lag_2,pfi_nonres_str_ag_lag_3,pfi_nonres_str_ag_lag_4,pfi_nonres_str_qg,pfi_nonres_str_qg_lag_1,pfi_nonres_str_qg_lag_2,pfi_nonres_str_qg_lag_3,pfi_nonres_str_qg_lag_4,rdi_ag,rdi_ag_lag_1,rdi_ag_lag_2,rdi_ag_lag_3,rdi_ag_lag_4,rdi_qg,rdi_qg_lag_1,rdi_qg_lag_2,rdi_qg_lag_3,rdi_qg_lag_4,rgdp_ag,rgdp_ag_lag_1,rgdp_ag_lag_2,rgdp_ag_lag_3,rgdp_ag_lag_4,rgdp_qg,rgdp_qg_lag_1,rgdp_qg_lag_2,rgdp_qg_lag_3,rgdp_qg_lag_4,rgpdi_eqp_ag,rgpdi_eqp_ag_lag_1,rgpdi_eqp_ag_lag_2,rgpdi_eqp_ag_lag_3,rgpdi_eqp_ag_lag_4,rgpdi_eqp_qg,rgpdi_eqp_qg_lag_1,rgpdi_eqp_qg_lag_2,rgpdi_eqp_qg_lag_3,rgpdi_eqp_qg_lag_4,spr10,spr10_lag_1,spr10_lag_2,spr10_lag_3,spr10_lag_4,spr10_qd,spr10_qd_lag_1,spr10_qd_lag_2,spr10_qd_lag_3,spr10_qd_lag_4,spr10_yd,spr10_yd_lag_1,spr10_yd_lag_2,spr10_yd_lag_3,spr10_yd_lag_4,ur_qd,ur_qd_lag_1,ur_qd_lag_2,ur_qd_lag_3,ur_qd_lag_4,ur_yd,ur_yd_lag_1,ur_yd_lag_2,ur_yd_lag_3,ur_yd_lag_4,vix,vix_lag_1,vix_lag_2,vix_lag_3,vix_lag_4,vix_qd,vix_qd_lag_1,vix_qd_lag_2,vix_qd_lag_3,vix_qd_lag_4,vix_yd,vix_yd_lag_1,vix_yd_lag_2,vix_yd_lag_3,vix_yd_lag_4,willreit,willreit_ag,willreit_ag_lag_1,willreit_ag_lag_2,willreit_ag_lag_3,willreit_ag_lag_4,willreit_lag_1,willreit_lag_2,willreit_lag_3,willreit_lag_4,willreit_qg,willreit_qg_lag_1,willreit_qg_lag_2,willreit_qg_lag_3,willreit_qg_lag_4
3/31/2001,2001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1804.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/2001,2001,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3.9,NA,NA,NA,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.906989348,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.68596555,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.663058023,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,6.3,NA,NA,NA,NA,NA,NA,NA,NA,5.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,8.54608908,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,2.1,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,-15.63550014,NA,NA,NA,NA,2,2.1,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,32.8,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1874.25,NA,NA,NA,NA,NA,1804.95,NA,NA,NA,16.26510149,NA,NA,NA,NA
9/30/2001,2001,3,-0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2.8,3.9,NA,NA,-1.7,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.428595725,0,NA,NA,NA,NA,NA,NA,NA,NA,-17.63432496,6.906989348,NA,NA,NA,NA,NA,NA,NA,NA,-12.54671095,-17.68596555,NA,NA,NA,NA,NA,NA,NA,NA,1.976858532,1.663058023,NA,NA,NA,-0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,1.6,6.3,NA,NA,NA,NA,NA,NA,NA,0,5.1,1.4,NA,NA,NA,NA,NA,NA,NA,10.02500713,8.54608908,NA,NA,NA,NA,NA,NA,NA,NA,9.8,-0.3,3.5,NA,NA,NA,NA,NA,NA,NA,-1.3,2.1,-1.1,NA,NA,NA,NA,NA,NA,NA,-9.978712658,-15.63550014,NA,NA,NA,2,2,2.1,NA,NA,0,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,43.7,34.7,32.8,NA,NA,9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,1998.29,NA,NA,NA,NA,NA,1874.25,1804.95,NA,NA,29.2182878,16.26510149,NA,NA,NA
12/31/2001,2001,4,-0.1,-0.2,0.1,NA,NA,NA,NA,NA,NA,NA,-0.3,1.1,2.8,3.9,NA,-1.4,-1.7,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.610500464,1.428595725,0,NA,NA,NA,NA,NA,NA,NA,11.30616235,-17.63432496,6.906989348,NA,NA,NA,NA,NA,NA,NA,-3.64633778,-12.54671095,-17.68596555,NA,NA,NA,NA,NA,NA,NA,1.93853521,1.976858532,1.663058023,NA,NA,-0.2,-0.2,0.2,NA,NA,NA,NA,NA,NA,NA,-1.3,-0.5,-1.1,NA,NA,NA,NA,NA,NA,NA,-0.4,-0.3,0,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.2,0.1,NA,NA,NA,NA,NA,NA,NA,-1.4,-0.7,-1.3,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,-4.6,10.1,1.6,6.3,NA,2.18,NA,NA,NA,NA,2.3,0,5.1,1.4,NA,NA,NA,NA,NA,NA,-31.34771699,10.02500713,8.54608908,NA,NA,1.88,NA,NA,NA,NA,-4.9,9.8,-0.3,3.5,NA,0.19,NA,NA,NA,NA,1.1,-1.3,2.1,-1.1,NA,NA,NA,NA,NA,NA,-1.579493649,-9.978712658,-15.63550014,NA,NA,2.1,2,2,2.1,NA,0.1,0,-0.1,NA,NA,NA,NA,NA,NA,NA,0.7,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,35.3,43.7,34.7,32.8,NA,-8.4,9,1.9,NA,NA,NA,NA,NA,NA,NA,1968.24,NA,NA,NA,NA,NA,1998.29,1874.25,1804.95,NA,-5.880815788,29.2182878,16.26510149,NA,NA
3/31/2002,2002,1,0.4,-0.1,-0.2,0.1,NA,0.2,NA,NA,NA,NA,1.3,-0.3,1.1,2.8,3.9,1.6,-1.4,-1.7,-1.1,NA,-2.6,NA,NA,NA,NA,-1.44930073,NA,NA,NA,NA,0.732604009,-3.610500464,1.428595725,0,NA,1.211875757,NA,NA,NA,NA,0.633049025,11.30616235,-17.63432496,6.906989348,NA,-10.68245311,NA,NA,NA,NA,-8.245180582,-3.64633778,-12.54671095,-17.68596555,NA,7.480121308,NA,NA,NA,NA,1.901669544,1.93853521,1.976858532,1.663058023,NA,0.3,-0.2,-0.2,0.2,NA,0.1,NA,NA,NA,NA,-0.2,-1.3,-0.5,-1.1,NA,-3.1,NA,NA,NA,NA,0.3,-0.4,-0.3,0,NA,-0.4,NA,NA,NA,NA,0.2,-0.1,-0.2,0.1,NA,0,NA,NA,NA,NA,-0.4,-1.4,-0.7,-1.3,NA,-3.8,NA,NA,NA,NA,4.3,3.2,NA,NA,NA,10.9,-4.6,10.1,1.6,6.3,3.1,2.18,NA,NA,NA,5.1,2.3,0,5.1,1.4,-9.046603716,NA,NA,NA,NA,-16.53294071,-31.34771699,10.02500713,8.54608908,NA,3.47,1.88,NA,NA,NA,10.1,-4.9,9.8,-0.3,3.5,1.38,0.19,NA,NA,NA,3.7,1.1,-1.3,2.1,-1.1,-8.597720093,NA,NA,NA,NA,-6.62350578,-1.579493649,-9.978712658,-15.63550014,NA,2.2,2.1,2,2,2.1,0.1,0.1,0,-0.1,NA,0.1,NA,NA,NA,NA,0.2,0.7,0.4,0.2,NA,1.5,NA,NA,NA,NA,26.1,35.3,43.7,34.7,32.8,-9.2,-8.4,9,1.9,NA,-6.7,NA,NA,NA,NA,2102.56,16.48854539,NA,NA,NA,NA,1968.24,1998.29,1874.25,1804.95,30.22110533,-5.880815788,29.2182878,16.26510149,NA
6/30/2002,2002,2,0,0.4,-0.1,-0.2,0.1,0.1,0.2,NA,NA,NA,3.2,1.3,-0.3,1.1,2.8,1.9,1.6,-1.4,-1.7,-1.1,0.4,-2.6,NA,NA,NA,-2.181904739,-1.44930073,NA,NA,NA,-0.732604009,0.732604009,-3.610500464,1.428595725,0,-19.52386236,1.211875757,NA,NA,NA,-13.82874877,0.633049025,11.30616235,-17.63432496,6.906989348,-7.723463687,-10.68245311,NA,NA,NA,-6.223962094,-8.245180582,-3.64633778,-12.54671095,-17.68596555,8.483887994,7.480121308,NA,NA,NA,2.666824708,1.901669544,1.93853521,1.976858532,1.663058023,0,0.3,-0.2,-0.2,0.2,-0.1,0.1,NA,NA,NA,0,-0.2,-1.3,-0.5,-1.1,-2,-3.1,NA,NA,NA,0,0.3,-0.4,-0.3,0,-0.4,-0.4,NA,NA,NA,-0.2,0.2,-0.1,-0.2,0.1,-0.3,0,NA,NA,NA,0,-0.4,-1.4,-0.7,-1.3,-2.5,-3.8,NA,NA,NA,5.21,4.3,3.2,NA,NA,5.2,10.9,-4.6,10.1,1.6,2.78,3.1,2.18,NA,NA,3.8,5.1,2.3,0,5.1,-14.86123545,-9.046603716,NA,NA,NA,-16.66107904,-16.53294071,-31.34771699,10.02500713,8.54608908,4.06,3.47,1.88,NA,NA,2,10.1,-4.9,9.8,-0.3,1.41,1.38,0.19,NA,NA,2.2,3.7,1.1,-1.3,2.1,-5.717970765,-8.597720093,NA,NA,NA,-4.490338394,-6.62350578,-1.579493649,-9.978712658,-15.63550014,2.2,2.2,2.1,2,2,0,0.1,0.1,0,-0.1,0.2,0.1,NA,NA,NA,0.1,0.2,0.7,0.4,0.2,1.4,1.5,NA,NA,NA,28.4,26.1,35.3,43.7,34.7,2.3,-9.2,-8.4,9,1.9,-6.3,-6.7,NA,NA,NA,2257.81,20.46471922,16.48854539,NA,NA,NA,2102.56,1968.24,1998.29,1874.25,32.97070676,30.22110533,-5.880815788,29.2182878,16.26510149
9/30/2002,2002,3,-0.3,0,0.4,-0.1,-0.2,0,0.1,0.2,NA,NA,2.2,3.2,1.3,-0.3,1.1,-1,1.9,1.6,-1.4,-1.7,1.1,0.4,-2.6,NA,NA,-1.428595725,-2.181904739,-1.44930073,NA,NA,2.181904739,-0.732604009,0.732604009,-3.610500464,1.428595725,-20.71681078,-19.52386236,1.211875757,NA,NA,-18.82727338,-13.82874877,0.633049025,11.30616235,-17.63432496,-4.83824379,-7.723463687,-10.68245311,NA,NA,-1.085308017,-6.223962094,-8.245180582,-3.64633778,-12.54671095,9.026847822,8.483887994,7.480121308,NA,NA,2.51981836,2.666824708,1.901669544,1.93853521,1.976858532,-0.9,0,0.3,-0.2,-0.2,-0.8,-0.1,0.1,NA,NA,-0.1,0,-0.2,-1.3,-0.5,-1.6,-2,-3.1,NA,NA,-1.1,0,0.3,-0.4,-0.3,-1.2,-0.4,-0.4,NA,NA,-0.6,-0.2,0.2,-0.1,-0.2,-0.7,-0.3,0,NA,NA,0,0,-0.4,-1.4,-0.7,-1.8,-2.5,-3.8,NA,NA,3.1,5.21,4.3,3.2,NA,1.5,5.2,10.9,-4.6,10.1,3.75,2.78,3.1,2.18,NA,3.8,3.8,5.1,2.3,0,-20.1048951,-14.86123545,-9.046603716,NA,NA,-14.67766834,-16.66107904,-16.53294071,-31.34771699,10.02500713,1.53,4.06,3.47,1.88,NA,-0.5,2,10.1,-4.9,9.8,2.25,1.41,1.38,0.19,NA,2,2.2,3.7,1.1,-1.3,-2.98661174,-5.717970765,-8.597720093,NA,NA,0.915116438,-4.490338394,-6.62350578,-1.579493649,-9.978712658,2.8,2.2,2.2,2.1,2,0.6,0,0.1,0.1,0,0.8,0.2,0.1,NA,NA,-0.1,0.1,0.2,0.7,0.4,0.9,1.4,1.5,NA,NA,45.1,28.4,26.1,35.3,43.7,16.7,2.3,-9.2,-8.4,9,1.4,-6.3,-6.7,NA,NA,2148.8,7.531939809,20.46471922,16.48854539,NA,NA,2257.81,2102.56,1968.24,1998.29,-17.95834505,32.97070676,30.22110533,-5.880815788,29.2182878
12/31/2002,2002,4,-0.3,-0.3,0,0.4,-0.1,-0.2,0,0.1,0.2,NA,2.4,2.2,3.2,1.3,-0.3,0.2,-1,1.9,1.6,-1.4,2.7,1.1,0.4,-2.6,NA,4.317217187,-1.428595725,-2.181904739,-1.44930073,NA,2.135312447,2.181904739,-0.732604009,0.732604009,-3.610500464,-24.9516273,-20.71681078,-19.52386236,1.211875757,NA,7.071345828,-18.82727338,-13.82874877,0.633049025,11.30616235,-5.612244898,-4.83824379,-7.723463687,-10.68245311,NA,-6.743081518,-1.085308017,-6.223962094,-8.245180582,-3.64633778,9.166109563,9.026847822,8.483887994,7.480121308,NA,2.077796951,2.51981836,2.666824708,1.901669544,1.93853521,-0.2,-0.9,0,0.3,-0.2,-0.8,-0.8,-0.1,0.1,NA,-0.3,-0.1,0,-0.2,-1.3,-0.6,-1.6,-2,-3.1,NA,-0.3,-1.1,0,0.3,-0.4,-1.1,-1.2,-0.4,-0.4,NA,-0.1,-0.6,-0.2,0.2,-0.1,-0.7,-0.7,-0.3,0,NA,-0.3,0,0,-0.4,-1.4,-0.7,-1.8,-2.5,-3.8,NA,5.29,3.1,5.21,4.3,3.2,3.8,1.5,5.2,10.9,-4.6,3.77,3.75,2.78,3.1,2.18,2.4,3.8,3.8,5.1,2.3,-12.45198464,-20.1048951,-14.86123545,-9.046603716,NA,-1.017248773,-14.67766834,-16.66107904,-16.53294071,-31.34771699,3.3,1.53,4.06,3.47,1.88,1.9,-0.5,2,10.1,-4.9,2.04,2.25,1.41,1.38,0.19,0.3,2,2.2,3.7,1.1,-4.106351551,-2.98661174,-5.717970765,-8.597720093,NA,-6.045351226,0.915116438,-4.490338394,-6.62350578,-1.579493649,2.7,2.8,2.2,2.2,2.1,-0.1,0.6,0,0.1,0.1,0.6,0.8,0.2,0.1,NA,0.2,-0.1,0.1,0.2,0.7,0.4,0.9,1.4,1.5,NA,42.6,45.1,28.4,26.1,35.3,-2.5,16.7,2.3,-9.2,-8.4,7.3,1.4,-6.3,-6.7,NA,2056.28,4.473031744,7.531939809,20.46471922,16.48854539,NA,2148.8,2257.81,2102.56,1968.24,-16.14189878,-17.95834505,32.97070676,30.22110533,-5.880815788
3/31/2003,2003,1,-0.5,-0.3,-0.3,0,0.4,-1.1,-0.2,0,0.1,0.2,4.2,2.4,2.2,3.2,1.3,1.8,0.2,-1,1.9,1.6,2.9,2.7,1.1,0.4,-2.6,7.723134794,4.317217187,-1.428595725,-2.181904739,-1.44930073,4.138521616,2.135312447,2.181904739,-0.732604009,0.732604009,-29.13855107,-24.9516273,-20.71681078,-19.52386236,1.211875757,-3.55387474,7.071345828,-18.82727338,-13.82874877,0.633049025,-4.349121239,-5.612244898,-4.83824379,-7.723463687,-10.68245311,-3.234150432,-6.743081518,-1.085308017,-6.223962094,-8.245180582,9.374540917,9.166109563,9.026847822,8.483887994,7.480121308,2.110100898,2.077796951,2.51981836,2.666824708,1.901669544,-0.1,-0.2,-0.9,0,0.3,-1.2,-0.8,-0.8,-0.1,0.1,-0.1,-0.3,-0.1,0,-0.2,-0.5,-0.6,-1.6,-2,-3.1,-0.2,-0.3,-1.1,0,0.3,-1.6,-1.1,-1.2,-0.4,-0.4,-0.3,-0.1,-0.6,-0.2,0.2,-1.2,-0.7,-0.7,-0.3,0,-0.2,-0.3,0,0,-0.4,-0.5,-0.7,-1.8,-2.5,-3.8,3.62,5.29,3.1,5.21,4.3,4,3.8,1.5,5.2,10.9,3.65,3.77,3.75,2.78,3.1,4.6,2.4,3.8,3.8,5.1,-7.970529136,-12.45198464,-20.1048951,-14.86123545,-9.046603716,1.914878456,-1.017248773,-14.67766834,-16.66107904,-16.53294071,1.12,3.3,1.53,4.06,3.47,1.1,1.9,-0.5,2,10.1,1.65,2.04,2.25,1.41,1.38,2.1,0.3,2,2.2,3.7,-2.404207363,-4.106351551,-2.98661174,-5.717970765,-8.597720093,0.184971049,-6.045351226,0.915116438,-4.490338394,-6.62350578,2.3,2.7,2.8,2.2,2.2,-0.4,-0.1,0.6,0,0.1,0.1,0.6,0.8,0.2,0.1,0,0.2,-0.1,0.1,0.2,0.2,0.4,0.9,1.4,1.5,34.7,42.6,45.1,28.4,26.1,-7.9,-2.5,16.7,2.3,-9.2,8.6,7.3,1.4,-6.3,-6.7,2090.96,-0.551708394,4.473031744,7.531939809,20.46471922,16.48854539,2056.28,2148.8,2257.81,2102.56,6.918755137,-16.14189878,-17.95834505,32.97070676,30.22110533
6/30/2003,2003,2,-0.8,-0.5,-0.3,-0.3,0,-1.9,-1.1,-0.2,0,0.1,-0.7,4.2,2.4,2.2,3.2,-4.9,1.8,0.2,-1,1.9,-3.9,2.9,2.7,1.1,0.4,9.129142021,7.723134794,4.317217187,-1.428595725,-2.181904739,0.673403218,4.138521616,2.135312447,2.181904739,-0.732604009,-0.44429328,-29.13855107,-24.9516273,-20.71681078,-19.52386236,14.86550901,-3.55387474,7.071345828,-18.82727338,-13.82874877,0,-4.349121239,-5.612244898,-4.83824379,-7.723463687,12.03043501,-3.234150432,-6.743081518,-1.085308017,-6.223962094,8.847229763,9.374540917,9.166109563,9.026847822,8.483887994,2.139513554,2.110100898,2.077796951,2.51981836,2.666824708,-0.4,-0.1,-0.2,-0.9,0,-1.6,-1.2,-0.8,-0.8,-0.1,-0.2,-0.1,-0.3,-0.1,0,-0.7,-0.5,-0.6,-1.6,-2,-0.3,-0.2,-0.3,-1.1,0,-1.9,-1.6,-1.1,-1.2,-0.4,-0.3,-0.3,-0.1,-0.6,-0.2,-1.3,-1.2,-0.7,-0.7,-0.3,-0.1,-0.2,-0.3,0,0,-0.6,-0.5,-0.7,-1.8,-2.5,3.89,3.62,5.29,3.1,5.21,6.3,4,3.8,1.5,5.2,3.97,3.65,3.77,3.75,2.78,5.1,4.6,2.4,3.8,3.8,-1.086575535,-7.970529136,-12.45198464,-20.1048951,-14.86123545,11.21442585,1.914878456,-1.017248773,-14.67766834,-16.66107904,2.07,1.12,3.3,1.53,4.06,5.9,1.1,1.9,-0.5,2,2.04,1.65,2.04,2.25,1.41,3.8,2.1,0.3,2,2.2,2.036783706,-2.404207363,-4.106351551,-2.98661174,-5.717970765,14.11690043,0.184971049,-6.045351226,0.915116438,-4.490338394,1.9,2.3,2.7,2.8,2.2,-0.4,-0.4,-0.1,0.6,0,-0.3,0.1,0.6,0.8,0.2,0.2,0,0.2,-0.1,0.1,0.3,0.2,0.4,0.9,1.4,29.1,34.7,42.6,45.1,28.4,-5.6,-7.9,-2.5,16.7,2.3,0.7,8.6,7.3,1.4,-6.3,2326.74,3.052958398,-0.551708394,4.473031744,7.531939809,20.46471922,2090.96,2056.28,2148.8,2257.81,53.32342946,6.918755137,-16.14189878,-17.95834505,32.97070676
